id_transaccion,fecha,region,producto,cantidad,total_venta,ciudad
MZQX2RRQ,2023-03-03 00:00:00,Este,Monitor 4K,2,896.61,Sevilla
DD78Z7Y7,2023-04-19 00:00:00,Este,Mouse Ergonómico,1,1254.77,Bilbao
MVY8767J,2023-02-23 00:00:00,Este,Laptop Gamer,1,326.7,Sevilla
X48CYCCH,2023-05-17 00:00:00,Este,Mouse Ergonómico,2,906.29,Barcelona
94BEJUGX,2023-01-17 00:00:00,Este,Docking Station,2,174.24,Sevilla
NR2GZ2YX,2023-01-04 00:00:00,Este,Laptop Gamer,2,1671.01,Barcelona
9QCKMJLI,2023-05-19 00:00:00,Este,Monitor 4K,2,689.7,Sevilla
73DUAVGR,2023-01-24 00:00:00,Este,Webcam HD,2,462.22,Valencia
45I73QO5,2023-03-04 00:00:00,Este,Docking Station,1,1420.54,Bilbao
5KBHMQ0D,2023-06-01 00:00:00,Este,Monitor 4K,1,418.65999999999997,Barcelona
9J4ADADC,2023-01-06 00:00:00,Este,Teclado Mecánico,1,461.01,Madrid
232GNBGH,2023-04-11 00:00:00,Este,Laptop Gamer,1,1352.78,Sevilla
MYXLBHHS,2023-02-16 00:00:00,Este,Docking Station,1,1686.74,Madrid
WD4OHBRE,2023-03-01 00:00:00,Este,Laptop Gamer,2,1017.61,Barcelona
GPC64CI3,2023-05-01 00:00:00,Este,Teclado Mecánico,1,298.87,Barcelona
PVW08SE1,2023-02-26 00:00:00,Este,Monitor 4K,1,1680.69,Bilbao
7112VDE5,2023-05-19 00:00:00,Este,Webcam HD,1,395.67,Sevilla
I5EV1KAN,2023-02-05 00:00:00,Este,Monitor 4K,2,1390.29,Bilbao
CHSJEF2M,2023-05-16 00:00:00,Este,Monitor 4K,2,636.46,Madrid
NIYKWV0R,2023-05-19 00:00:00,Este,Mouse Ergonómico,2,1627.45,Sevilla
XQ5G7KBQ,2023-06-01 00:00:00,Este,Webcam HD,1,1583.8899999999999,Sevilla
1NETUF14,2023-04-07 00:00:00,Este,Webcam HD,2,1099.8899999999999,Madrid
H32DD5KS,2023-06-05 00:00:00,Este,Docking Station,2,1714.57,Sevilla
09WQ4VIL,2023-06-20 00:00:00,Este,Teclado Mecánico,2,1283.81,Bilbao
20Z6HIRB,2023-06-03 00:00:00,Este,Mouse Ergonómico,1,243.21,Madrid
46ZGVDGP,2023-05-27 00:00:00,Este,Teclado Mecánico,2,292.82,Valencia
PKD632F3,2023-05-04 00:00:00,Este,Docking Station,1,1565.74,Bilbao
IKHU0V6V,2023-04-17 00:00:00,Este,Teclado Mecánico,1,816.75,Valencia
0FQJNNCS,2023-05-07 00:00:00,Este,Monitor 4K,2,959.53,Barcelona
YAYPCHDV,2023-05-07 00:00:00,Este,Mouse Ergonómico,2,1084.16,Bilbao
GCTNFIN4,2023-05-18 00:00:00,Este,Monitor 4K,2,321.86,Madrid
VUR1OO30,2023-03-28 00:00:00,Este,Teclado Mecánico,1,1626.24,Madrid
LJERQWO2,2023-01-04 00:00:00,Este,Webcam HD,1,122.21000000000001,Bilbao
38SS6L3Q,2023-03-25 00:00:00,Este,Monitor 4K,2,158.51,Madrid
FKWLGJRU,2023-04-01 00:00:00,Este,Laptop Gamer,2,1059.96,Barcelona
VDTHZRES,2023-05-01 00:00:00,Este,Teclado Mecánico,1,1746.03,Barcelona
698CTO3J,2023-06-14 00:00:00,Este,Laptop Gamer,2,1063.59,Bilbao
AKQHP4LS,2023-05-31 00:00:00,Este,Webcam HD,1,88.33,Barcelona
I3LAYPAS,2023-04-04 00:00:00,Este,Mouse Ergonómico,1,1597.2,Sevilla
51CUF613,2023-03-07 00:00:00,Este,Teclado Mecánico,2,294.03,Sevilla
L75FCXKT,2023-01-17 00:00:00,Este,Monitor 4K,2,1575.42,Madrid
KD5I03ND,2023-03-21 00:00:00,Este,Monitor 4K,2,1093.84,Madrid
H3VRGXTJ,2023-04-14 00:00:00,Este,Docking Station,2,1268.08,Madrid
VFB5MQHV,2023-05-22 00:00:00,Este,Docking Station,2,1066.01,Madrid
GRM3QE8B,2023-02-09 00:00:00,Este,Mouse Ergonómico,2,137.94,Valencia
K06UC2UU,2023-01-26 00:00:00,Este,Mouse Ergonómico,2,189.97,Barcelona
Z8HV0ABP,2023-04-29 00:00:00,Este,Docking Station,1,1075.69,Barcelona
GIP0U6I3,2023-03-17 00:00:00,Este,Webcam HD,2,1633.5,Sevilla
0CYB4OIU,2023-04-26 00:00:00,Este,Docking Station,2,238.37,Madrid
M5OJHLQ3,2023-02-18 00:00:00,Este,Mouse Ergonómico,2,1484.67,Barcelona
VHRXFH0U,2023-02-03 00:00:00,Este,Teclado Mecánico,1,1593.57,Bilbao
K4MJKKKP,2023-03-27 00:00:00,Este,Teclado Mecánico,2,1216.05,Bilbao
OO9VIART,2023-05-05 00:00:00,Este,Laptop Gamer,1,1806.53,Madrid
CRILYZL3,2023-03-15 00:00:00,Este,Mouse Ergonómico,2,813.12,Madrid
Q5HGWFT7,2023-02-12 00:00:00,Este,Docking Station,2,583.22,Madrid
FG18NJCT,2023-02-25 00:00:00,Este,Mouse Ergonómico,1,175.45,Sevilla
LN5DODWR,2023-02-16 00:00:00,Este,Monitor 4K,2,327.90999999999997,Barcelona
G7QCGRLV,2023-03-24 00:00:00,Este,Webcam HD,1,1011.56,Barcelona
REEXF4K2,2023-05-06 00:00:00,Este,Laptop Gamer,1,1000.67,Bilbao
EVLACAP3,2023-03-22 00:00:00,Este,Mouse Ergonómico,2,1179.75,Valencia
EWPEQ4Y2,2023-02-06 00:00:00,Este,Mouse Ergonómico,1,496.1,Valencia
9BGOCH6X,2023-03-13 00:00:00,Este,Docking Station,1,1445.95,Madrid
SZC8EWYA,2023-05-04 00:00:00,Este,Docking Station,1,1335.84,Madrid
GDBJGC12,2023-03-12 00:00:00,Este,Docking Station,1,909.92,Bilbao
9MLGIZ2C,2023-05-16 00:00:00,Este,Webcam HD,2,1312.85,Barcelona
LVABNK1C,2023-02-01 00:00:00,Este,Monitor 4K,2,923.23,Bilbao
Z8YHK0SA,2023-06-08 00:00:00,Este,Docking Station,2,1397.55,Valencia
ZAU6TOGE,2023-03-12 00:00:00,Este,Monitor 4K,1,1185.8,Sevilla
SYIOAK0Y,2023-01-04 00:00:00,Este,Mouse Ergonómico,1,703.01,Valencia
RS8A22H4,2023-03-13 00:00:00,Este,Teclado Mecánico,2,704.22,Bilbao
BLL1HOQB,2023-01-26 00:00:00,Este,Mouse Ergonómico,1,562.65,Barcelona
8ZGMXNP3,2023-06-03 00:00:00,Este,Teclado Mecánico,2,252.89,Madrid
YR255DIJ,2023-06-22 00:00:00,Este,Webcam HD,2,228.69,Madrid
O0C4TFI0,2023-06-28 00:00:00,Este,Laptop Gamer,1,61.71,Barcelona
HNQDGL0Q,2023-04-05 00:00:00,Este,Monitor 4K,1,1003.09,Valencia
4PNJTECY,2023-04-23 00:00:00,Este,Laptop Gamer,2,1038.18,Valencia
W1M7CCSI,2023-06-03 00:00:00,Este,Webcam HD,2,770.77,Sevilla
VXFXQUKX,2023-02-24 00:00:00,Este,Monitor 4K,2,607.42,Valencia
3HPQ0U08,2023-01-08 00:00:00,Este,Mouse Ergonómico,1,370.26,Madrid
